date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:28%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_TRUNC	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_TRUNC	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:28%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DAY	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DAY	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:29%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DAYOFMONTH	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DAYOFMONTH	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:29%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DAYOFWEEK	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DAYOFWEEK	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:29%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DAYOFYEAR	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DAYOFYEAR	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:30%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DEGREES	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DEGREES	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:30%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DENSE_RANK	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DENSE_RANK	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:34	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:30%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/E	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/E	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:34	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:30%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ENCODE	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/ENCODE	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:35	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:31%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ENDS_WITH	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/ENDS_WITH	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:35	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:31%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/EXP	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/EXP	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:35	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:32%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/EXTRACT	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/EXTRACT	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:35	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:32%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/FACTORIAL	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/FACTORIAL	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
